miasto,lat,lng,populatio
Kamień Pomorski,53.9695,14.7829,14354
Trzemeszno,52.5604,17.8136,14349
Wieruszów,51.2963,18.1531,14304
Lidzbark,53.26,19.8238,14299
Górno,50.8609,20.804,14292
Łodygowice,49.73108,19.14076,14269
Łęczyca,52.0543,19.199,14252
Radomyśl Wielki,50.1963,21.2757,14225
Skrzyszów,49.99395,21.06234,14187
Biała Podlaska,52.02947,23.00191,14169
Łobez,53.6359,15.6133,14134
Pszów,50.04513,18.39108,14114
Przemęt,52.0065,16.2866,14081
Wyrzysk,53.1516,17.2691,14031
Kosakowo,54.58957,18.48295,14029
Ślesin,52.383,18.3099,13992
Leżajsk,50.2655,22.4186,13990
Zgierz,51.9356,19.3862,13972
Żyraków,50.10828,21.38909,13961
Darłowo,54.4285,16.4106,13924
Olsztynek,53.5871,20.2816,13884
Nowy Wiśnicz,49.915,20.451,13880
Zławieś Wielka,53.0993,18.3353,13872
Jastków,51.2948,22.4085,13871
Człuchów,53.6647,17.368,13869
Słupca,52.2907,17.8686,13851
Chojna,52.9562,14.4269,13846
Sianów,54.2242,16.3192,13843
Mogilany,49.9402,19.8873,13819
Osielsko,53.2163,18.0552,13762
Wąbrzeźno,53.27836,18.95239,13749
Zbąszyń,52.2514,15.9118,13748
Wołczyn,51.0236,18.0567,13748
Słomniki,50.2399,20.0768,13677
Miejsce Piastowe,49.6316,21.78591,13675
Konopnica,51.2162,22.4277,13674
Witkowo,52.4372,17.7752,13666
gmina Andrespol,51.72533,19.63566,13661
Godów,49.92343,18.47849,13653
Otmuchów,50.4654,17.1236,13634
Praszka,51.0483,18.4529,13630
Nowa Wieś Lęborska,54.5734,17.6926,13617
Kłomnice,50.92165,19.35697,13602
Wieliszew,52.4499,20.8818,13573
Chojnów,51.2722,15.9355,13573
Bodzechów,50.94721,21.33223,13518
Wojnicz,49.9573,20.8234,13472
Kcynia,52.9909,17.4871,13471
Chorkówka,49.6343,21.6521,13469
Więcbork,53.3542,17.4925,13395
Koźmin Wielkopolski,51.829,17.4529,13361
Bełżyce,51.1662,22.2653,13356
Jeleśnia,49.61302,19.34765,13353
Głogówek,50.3458,17.86,13351
Włodawa,51.5412,23.5336,13350
Nadarzyn,52.0642,20.7966,13348
Mielec,50.29114,21.51317,13317
Niemodlin,50.6386,17.6193,13305
Wilkowice,49.7653,19.0737,13303
Oleśnica,51.20981,17.45159,13299
Biłgoraj,50.5543,22.6728,13294
Gorzyce,50.66829,21.83842,13292
Bukowina Tatrzańska,49.3199,20.09877,13290
Zebrzydowice,49.87838,18.61187,13284
Janikowo,52.7567,18.1116,13270
Jarosław,50.01381,22.75595,13192
Szczucin,50.3099,21.07573,13167
Prabuty,53.7495,19.2145,13165
Strumień,49.9185,18.7542,13164
Rakoniewice,52.1409,16.2719,13150
Stargard,53.35564,15.0845,13148
Garwolin,51.8909,21.5547,13144
Goleszów,49.73535,18.7365,13122
Zagórz,49.5077,22.2651,13099
Brzostek,49.8798,21.4083,13091
Twardogóra,51.3668,17.4576,13081
Krobia,51.7721,16.9904,13079
Lewin Brzeski,50.7545,17.6303,13064
Podegrodzie,49.5972,20.5645,13057
Blachownia,50.7968,18.9467,13056
Radziechowy-Wieprz,49.63356,19.16719,13049
Czarna,50.06827,21.25631,13023
Zagnańsk,50.9997,20.6508,13023
Chełmek,50.1113,19.2503,13010
Kłodawa,52.2487,18.9151,13005
Żurawica,49.8479,22.7582,12964
Witnica,52.6782,14.8885,12957
Kozy,49.82923,19.14023,12926
Ostrów Mazowiecka,52.8067,21.98269,12919
Szczytno,53.5464,21.033,12887
Zakrzew,51.4477,21.02146,12875
Susz,53.7121,19.3448,12872
Chocianów,51.4175,15.906,12866
Moszczenica,51.50357,19.67349,12857
Iława,53.6374,19.5804,12849
Sobótka,50.8764,16.7247,12835
Golub-Dobrzyń,53.11223,19.05414,12828
Warta,51.7098,18.609,12784
Paczków,50.4661,17.0038,12770
Węgrów,52.4008,22.0296,12765
Sława,51.8938,16.0243,12729
Poczesna,50.71483,19.1326,12705
Wałcz,53.29371,16.59352,12695
Wiązowna,52.1654,21.3616,12693
Siedlec,52.1559,15.9707,12680
Działoszyn,51.1176,18.8703,12665
Jedlnia-Letnisko,51.42015,21.31875,12654
Alwernia,50.0563,19.535,12641
Kołbaskowo,53.3512,14.4821,12633
Grudziądz,53.5576,18.8242,12621
Sędziszów,50.5663,20.06,12599
Sławno,54.36126,16.67828,12590
Stryków,51.9023,19.6156,12565
Pniewy,52.5108,16.2644,12562
Gogolin,50.4888,18.0223,12544
Brzeziny,51.80066,19.74944,12534
Skołyszyn,49.74977,21.33476,12531
Żarów,50.9428,16.4932,12506
Wieleń,52.8962,16.1749,12499
Buk,52.3527,16.5216,12495
Kańczuga,49.9772,22.3956,12422
Siewierz,50.4647,19.216,12390
Zakliczyn,49.8529,20.8055,12377
Żary,51.6647,15.1099,12374
Świerklany,50.02026,18.58046,12347
Tuszyn,51.6054,19.5346,12332
Rozprza,51.30477,19.68258,12306
Wieprz,49.9127,19.3753,12288
Aleksandrów Kujawski,52.8763,18.7004,12270
Wągrowiec,52.8291,17.1928,12249
Wolin,53.8318,14.5979,12220
Skwierzyna,52.5912,15.5058,12201
Kobylnica,54.3748,16.9649,12186
Orneta,54.1158,20.1266,12178
Suszec,50.02966,18.79184,12157
Stare Miasto,52.15796,18.22426,12154
Zduńska Wola,51.6509,18.8068,12154
Gostynin,52.4293,19.35043,12121
Istebna,49.56302,18.90601,12111
Jaktorów,52.07923,20.51137,12105
Lubaczów,50.1573,23.12025,12101
Przygodzice,51.5517,17.8287,12096
Kowala,51.32426,21.09592,12093
Żychlin,52.246,19.6236,12084
Świerklaniec,50.44226,18.93657,12069
Psary,50.3865,19.1219,12046
Łęczyce,54.588,17.9329,12035
Golina,52.2461,18.0952,12033
